"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country","id"
"7994","9958496969503338","9786020328959","2016","Kafka, Franz","ind","Proses","<<Der>> Prozess","Jakarta","XB-ID","onb9958496969503338"
"7995","9958496969403338","9782916835624","2015","Kafka, Franz","bre","Ar prosez","<<Der>> Prozess","Lannuon","XA-FR","onb9958496969403338"
"7996","9959009077903338","9789601684604","2022","Menasse, Robert","gre","Ē prōteuusa","<<Die>> Hauptstadt","Athēna","XA-GR","onb9959009077903338"
"7998","9958517878903338","9788378662846","2018","Roth, Joseph","pol","Proza podróżna","fail","Kraków","XA-PL","onb9958517878903338"
"8000","9958806380003338","9786176142898","2020","Celan, Paul","ukr","Prytulok času","Zeitgehöft","Černivci","XA-UA","onb9958806380003338"
"8001","9958593259503338","9788307034607","2019","Bernhard, Thomas","pol","Przegrany","<<Der>> Untergeher","Warszawa","XA-PL","onb9958593259503338"
"8002","990045019750603392","9788361298335","2013","Celan, Paul","ger","Psalm i inne wiersze","fail","Kraków","XA-PL","onb990045019750603392"
"8007","990049063370603392","9788024446660","2015","Strobl, Karl Hans","cze","Půlnoční povídky","Geschichten um Mitternacht","Olomouc","XA-CZ","onb990049063370603392"
"8009","990043231180603392","9781906570224","2012","Rilke, Rainer Maria","eng","Pure contradiction","fail","Todmorden","XA-GB","onb990043231180603392"
"8011","990049800700603392","9788056401590","2016","Brezina, Thomas","slo","Púšt' čierneho obra","<<Die>> Wüste des schwarzen Riesen","Bratislava","XA-SK","onb990049800700603392"
"8012","9958558076403338","9789533400686","2018","Knapp, Radek","hrv","Put u kalino","Reise nach Kalino","Zagreb","XA-HR","onb9958558076403338"
"8013","9958842649403338","9789975864558","2020","Trojanow, Ilija","rum","Putere şi rezistenţă","Macht & Widerstand","Bucureşti","XA-RU","onb9958842649403338"
"8014","990049586490603392","9789536751792","2012","Glavinic, Thomas","hrv","Putovanje u ime Gospodnje","Unterwegs im Namen des Herrn","Zagreb","XA-HR","onb990049586490603392"
"8015","9958947494003338","9789916122532","2021","Handke, Peter","est","Puuviljavaras ehk ühe otsa reis sisemaale","<<Die>> Obstdiebin","[Tallinn]","XA-EE","onb9958947494003338"
"8019","990046350480603392","9787208115149","2014","Handke, Peter","chi","Qu wang di jiu wang guo","<<Die>> Wiederholung","Shang hai","XB-CN","onb990046350480603392"
"8020","990042389620603392","9788483305775","2010","Rilke, Rainer Maria","cat","Els quaderns de Malte Laurids Brigge","<<Die>> Aufzeichnungen des Malte Laurids Brigge","Barcelona","XA-ES","onb990042389620603392"
"8021","9958945400803338","9782246825869","2022","Gstrein, Norbert","fre","Quand j'etais jeune","Als ich jung war","Paris","XA-FR","onb9958945400803338"
"8022","990049669180603392","9788565859974","2016","Meyerhoff, Joachim","por","Quando final mente voltará a ser como nunca foi","Wann wird es endlich wieder so, wie es nie war","Rio de Janeiro","XD-BR","onb990049669180603392"
"8023","990050062660603392","9788831720922","2015","Meyerhoff, Joachim","ita","Quando tutto tornerà a essere come non è mai stato","Wann wird es endlich wieder so, wie es nie war","Venezia","XA-IT","onb990050062660603392"
"8024","990050074990603392","9788415835516","2015","Werfel, Franz","cat","Els quaranta dies del Musa Dagh","<<Die>> vierzig Tage des Musa Dagh","Barcelona","XA-ES","onb990050074990603392"
"8025","990047057050603392","9789025442552","2014","Menasse, Eva","dut","Quasikristallen","Quasikristalle","Amsterdam [u.a.]","XA-NL","onb990047057050603392"
"8026","990047192430603392","9788432224188","2015","Meyerhoff, Joachim","spa","Que todo sea como nunca fue","Wann wird es endlich wieder so, wie es nie war","Barcelona","XA-ES","onb990047192430603392"
"8027","990047205450603392","9788429773835","2015","Meyerhoff, Joachim","cat","Que tot sigui com no ha estat mai","Wann wird es endlich wieder so, wie es nie war","Barcelona","XA-ES","onb990047205450603392"
"8031","9958941600503338","9780374125592","2022","Handke, Peter","eng","Quiet places","fail","New York","XD-US","onb9958941600503338"
"8032","9958904945503338","9789493186019","2020","Rühm, Gerhard","dut","Het raam","<<Das>> Fenster","[Bleiswijk]","XA-NL","onb9958904945503338"
"8033","9958549665803338","9788823516847","2016","Rilke, Rainer Maria","ita","I racconti","fail","Parma","XA-IT","onb9958549665803338"
"8034","990049591970603392","9788845930690","2016","Broch, Hermann","ita","Il racconto della serva Zerlina","<<Die>> Erzählung der Magd Zerline","Milano","XA-IT","onb990049591970603392"
"8035","990048814540603392","9788684807924","2015","Roth, Joseph","srp","Radecki marš","Radetzkymarsch","Beograd","XA-SP","onb990048814540603392"
"8037","990049389310603392","9789532665994","2014","Roth, Joseph","hrv","Radetzky marš","Radetzkymarsch","Zaprešić","XA-HR","onb990049389310603392"
"8038","9958864543903338","9789045022680","2021","Roth, Joseph","dut","Radetzkymars","Radetzkymarsch","Amsterdam","XA-NL","onb9958864543903338"
"8039","9958822279203338","9789028210516","2020","Roth, Joseph","dut","Radetzkymars","Radetzkymarsch","Amsterdam","XA-NL","onb9958822279203338"
"8040","9958506173103338","9789177791522","2018","Roth, Joseph","swe","Radetzkymarschen","Radetzkymarsch","[Stockholm]","XA-SE","onb9958506173103338"
"8041","9958853550903338","9780857428172","2021","Bachmann, Ingeborg","eng","The radio family","<<Die>> Radiofamilie","London","XA-GB","onb9958853550903338"
"8043","9958580978403338","9788850252657","2019","Kreslehner, Gabi","ita","La ragazza della pioggia","<<Das>> Regenmädchen","Milano","XA-IT","onb9958580978403338"
"8044","990047406470603392","9781477823118","2014","Kreslehner, Gabi","eng","Rain girl","<<Das>> Regenmädchen","Seattle, Wash.","XD-US","onb990047406470603392"
"8045","990043050460603392","9788090451483","2011","Winkler, Josef","cze","Rappongi","Rappongi","Zlín","XA-CZ","onb990043050460603392"
"8063","990049779870603392","9781503934504","2016","Kreslehner, Gabi","eng","Raven sisters","Rabenschwestern","Seattle","XD-US","onb990049779870603392"
"8067","9958564958503338","9788807033384","2019","Kehlmann, Daniel","ita","Il re, il cuoco e il buffone","Tyll","Milano","XA-IT","onb9958564958503338"
"8070","9958491276903338","9788807031113","2014","Glattauer, Daniel","ita","Un regalo che non ti aspetti","Geschenkt","Milano","XA-IT","onb9958491276903338"
"8071","9958566972003338","9788466341196","2017","Glattauer, Daniel","spa","Un regalo que no esperabas","Geschenkt","[Barcelona]","XA-ES","onb9958566972003338"
"8072","990049798220603392","9788420412238","2015","Glattauer, Daniel","spa","Un regalo que no esperabas","Geschenkt","Madrid","XA-ES","onb990049798220603392"
"8074","9958828267903338","9783899195781","2020","Kafka, Franz","fre","Regard","Betrachtung","[Haselbach]","XA-DE-BY","onb9958828267903338"
"8075","990038043710603392","9788661730023","2010","Jelinek, Elfriede","srp","Rehnic","Rechnitz","Beograd","XA-SP","onb990038043710603392"
"8077","9958853550703338","9781913097448","2021","Jelinek, Elfriede","eng","Rein gold","Rein Gold","London, Great Britain","XA-GB","onb9958853550703338"
"8078","9958499268003338","9789020414424","2017","Zweig, Stefan","dut","Reis naar het verleden","Widerstand der Wirklichkeit","Amsterdam","XA-NL","onb9958499268003338"
"8082","9958585179903338","9788494970207","2019","Celan, Paul","spa","Reixes de llengua","Sprachgitter","[Barcelona]","XA-ES","onb9958585179903338"
"8083","9958555370903338","9788799995554","2019","Mayröcker, Friederike","dan","Rejse gennem natten","Reise durch die Nacht","[Fredensborg]","XA-DK","onb9958555370903338"
"8086","990045973900603392","9788415689652","2013","Doderer, Heimito ","spa","Relatos breves y microrrelatos","Kurz- und Kürzestgeschichten","Barcelona","XA-ES","onb990045973900603392"
"8087","990048047230603392","9789500398763","2013","Kafka, Franz","spa","Relatos completos","fail","Buenos Aires","XD-AR","onb990048047230603392"
"8090","9958507280303338","9788491810285","2018","Handke, Peter","spa","La repetición","<<Die>> Wiederholung","Madrid","XA-ES","onb9958507280303338"
"8091","9958837251403338","9781250767271","2020","Handke, Peter","eng","Repetition","<<Die>> Wiederholung","New York","XD-US","onb9958837251403338"
"8092","9958799874303338","9780241457689","2020","Handke, Peter","eng","Repetition","<<Die>> Wiederholung","London","XA-GB","onb9958799874303338"
"8093","9958933200103338","9782847051926","2019","Schrefel, Magdalena","fre","Le repli du paysage","<<Die>> Bergung der Landschaft","Les Matelles","XA-FR","onb9958933200103338"
"8095","990037430370603392","9782355360473","2011","Steinfest, Heinrich","fre","Requins d'eau douce","Nervöse Fische","Paris","XA-FR","onb990037430370603392"
"8096","990046364810603392","9782070444915","2013","Steinfest, Heinrich","fre","Requins d'eau douce","Nervöse Fische","[Paris]","XA-FR","onb990046364810603392"
"8098","990050281060603392","9788498415643","2011","Haas, Wolf","spa","La resurección de los muertos","Auferstehung der Toten","Madrid","XA-ES","onb990050281060603392"
"8099","990038256640603392","9782213638546","2011","Schneider, Robert","fre","La révélation","<<Die>> Offenbarung","Paris","XA-FR","onb990038256640603392"
"8101","9958859855203338","9789525850949","2019","Handke, Peter","fin","Riisuttu epäonni","Wunschloses Unglück","[Helsinki]","XA-FI","onb9958859855203338"
"8102","990050233750603392","9789021455013","2014","Jelinek, Elfriede","dut","Rijngoud","Rein Gold","Amsterdam","XA-NL","onb990050233750603392"
"8103","9958566971803338","9788075930521","2019","Flašar, Milena Michiko","cze","Říkal jsem mu Kravata","Ich nannte ihn Krawatte","Praha","XA-CZ","onb9958566971803338"
"8104","9958859855603338","9788823527256","2021","Handke, Peter","ita","La ripetizione","<<Die>> Wiederholung","Milano","XA-IT","onb9958859855603338"
"8107","9958808172803338","9789605863326","2020","Bernhard, Thomas","ger","Ritter, Ntene, Phos","Ritter, Dene, Voss","Athēna","XA-GR","onb9958808172803338"
"8109","9958496376803338","9789941908019","2012","Mitgutsch, Anna","geo","Roc̕a dabrundebi","Wenn du wiederkommst","T̕bilisi","XB-GE","onb9958496376803338"
"8111","9958799960103338","9782330130879","2020","Kehlmann, Daniel","fre","Le roman de Tyll Ulespiègle","Tyll","Arles","XA-FR","onb9958799960103338"
"8117","9958513753003338","9786197362299","2018","Winkler, Josef","bul","Ropongi","Roppongi","Sofija","XA-BG","onb9958513753003338"
"8118","9958933203203338","9786555250565","2021","Celan, Paul","por","A rosa de ninguém","<<Die>> Niemandsrose","São Paulo","XD-BR","onb9958933203203338"
"8120","9958864544403338","9789527409022","2021","Helfer, Monika","fin","Roskaväkeä","<<Die>> Bagage","Ylöjärvi","XA-FI","onb9958864544403338"
"8124","990046864430603392","9788072466498","2013","Becker, Zdenka","cze","Róziny dcery","<<Die>> Töchter der Róza Bukovská","Praha","XA-CZ","onb990046864430603392"
"8126","9958808172203338","9791091896900","2019","Rilke, Rainer Maria","fre","Rumeur des âges","Ur-Geräusch","Paris","XA-FR","onb9958808172203338"
"8127","990045974590603392","9780307475039","2012","Wallner, Michael","eng","The Russian affair","<<Die>> russische Affaire","New York, NY","XD-US","onb990045974590603392"
"8132","990049801160603392","9788806228446","2016","Celan, Paul","ita","La sabbia delle urne","<<Der>> Sand aus den Urnen","Torino","XA-IT","onb990049801160603392"
"8133","9958495278303338","9789750732072","2017","Zweig, Stefan","tur","Sabırsız yürek","Ungeduld des Herzens","İstanbul","XB-TR","onb9958495278303338"
"8140","990049511830603392","9785422410057","2015","SacherMasoch, Leopold ","rus","Šachinja","<<Ein>> weiblicher Sultan","Moskva","XA-RU","onb990049511830603392"
"8141","990049060790603392","9786191640263","2013","Zweig, Stefan","bul","Šachmatna novela","Schachnovelle","Sofija","XA-BG","onb990049060790603392"
"8144","990045019930603392","9789172995437","2013","Poznanski, Ursula","swe","Saeculum","Saeculum","Bromma","XA-SE","onb990045019930603392"
"8145","990043957140603392","9786071127013","2013","Poznanski, Ursula","spa","Saeculum","Saeculum","México, D.F.","XD-MX","onb990043957140603392"
"8146","990047338840603392","9788025322260","2014","Poznanski, Ursula","cze","Saeculum","Saeculum","Praha","XA-CZ","onb990047338840603392"
"8147","990044016570603392","9786053430735","2013","Poznanski, Ursula","tur","Saeculum","Saeculum","İstanbul","XB-TR","onb990044016570603392"
"8148","990044522210603392","9789047704836","2012","Poznanski, Ursula","dut","Saeculum","Saeculum","Rotterdam","XA-NL","onb990044522210603392"
"8150","990048032870603392","9788823508118","2014","Handke, Peter","ita","Saggio sul luogo tranquillo","Versuch über den stillen Ort","Parma","XA-IT","onb990048032870603392"
"8153","9958562469103338","9789632275680","2018","Zweig, Stefan","hun","Sakknovella","Schachnovelle","[Budapest]","XA-HU","onb9958562469103338"
"8155","990047585360603392","9788683495344","2012","Trojanow, Ilija","srp","Sakupljač svetova","<<Der>> Weltensammler","Beograd","XA-RS","onb990047585360603392"
"8157","9958493249503338","9789172998896","2017","Poznanski, Ursula","swe","Sammansvärjningen","<<Die>> Verschworenen","[Bromma]","XA-SE","onb9958493249503338"
"8166","990050091900603392","9789934007972","2014","Glattauer, Daniel","lav","Sargies ziemeļvēj@","Gut gegen Nordwind","Rīgā","XA-LV","onb990050091900603392"
"8167","990050233740603392","9784861825323","2015","Geiger, Arno","jpn","Sarī no subete","Alles über Sally","Tōkyōto","XB-JP","onb990050233740603392"
"8168","9958599175403338","9786197362596","2019","Vögel, Stefan","bul","Sǎšto kakto predi","Genau wie früher","Sofia","XA-BG","onb9958599175403338"
"8169","9958497154203338","9786059691802","2016","Kafka, Franz","tur","Şato","<<Das>> Schloss","İstanbul","XB-TR","onb9958497154203338"
"8170","9958126300603338","9786054927135","2017","Zweig, Stefan","tur","Satranç","Schachnovelle","İstanbul","XB-TR","onb9958126300603338"
"8171","9958573654303338","9786051415598","2018","Zweig, Stefan","tur","Satranç","Schachnovelle","Cağaloğlu, İstanbul","XB-TR","onb9958573654303338"
"8173","9958513872003338","9789997315625","2018","Zweig, Stefan","mon","Šatryn tuuž","Schachnovelle","Ulaanbaatar","XB-MN","onb9958513872003338"
"8175","990050859770603392","9788492821686","2014","Mayröcker, Friederike","spa","Scardanelli","fail","Benalmádena, Málaga","XA-ES","onb990050859770603392"
"8176","990050859840603392","9782374280035","2017","Mayröcker, Friederike","fre","Scardanelli","Scardanelli","Saint-Quentin-de-Caplong","XA-FR","onb990050859840603392"
"8177","990038950140603392","9789172472754","2011","Mayröcker, Friederike","swe","Scardanelli","Scardanelli","Lund","XA-SE","onb990038950140603392"
"8179","9958602673003338","9788810567821","2018","Rilke, Rainer Maria","ita","Una scena nel ghetto di Venezia","<<Eine>> Szene aus dem Ghetto von Venedig","Bologna","XA-IT","onb9958602673003338"
"8180","9958496969203338","9789025308056","2017","Zweig, Stefan","dut","Schaaknovelle","Schachnovelle","Amsterdam","XA-NL","onb9958496969203338"
"8181","9958819780003338","9789028210561","2020","Zweig, Stefan","dut","Schaaknovelle","Schachnovelle","Amsterdam","XA-NL","onb9958819780003338"
"8183","990046342900603392","9783943052626","2014","Zweig, Stefan","ger","Schachnovelle","fail","Neckarsteinach","XA-DE","onb990046342900603392"
"8190","9958513752403338","9786197362312","2018","Rudoll, Ronald","bul","Seansăt","<<Die>> Seance","Sofija","XA-BG","onb9958513752403338"
"8192","9958807250803338","9788252198942","2019","Trakl, Georg","nor","Sebastian i draum","Sebastian  im Traum","Oslo","XA-NO","onb9958807250803338"
"8193","990049075170603392","9788763841283","2015","Trakl, Georg","dan","Sebastian i drømme","Sebastian im Traum","København","XA-DK","onb990049075170603392"
"8196","9958545566903338","9781609454722","2018","Beer, Alex","eng","The second rider","<<Der>> zweite Reiter","New York, N.Y.","XD-US","onb9958545566903338"
"8197","990038388540603392","9788845925580","2011","Roth, Joseph","ita","Il secondo amore","<<Die>> zweite Liebe","Milano","XA-IT","onb990038388540603392"
"8198","9958541276403338","9788866329749","2018","Beer, Alex","ita","Il secondo cavaliere","<<Der>> zweite Reiter","Roma","XA-IT","onb9958541276403338"
"8200","9958536774303338","9782228922289","2018","Zweig, Stefan","fre","Secrets et passions","fail","Paris","XA-FR","onb9958536774303338"
"8201","9958910720503338","9788024278810","2022","Poznanski, Ursula","cze","Šedá jako popel","Grau wie Asche","Praha","XA-CZ","onb9958910720503338"
"8202","9958957703903338","9789533400921","2020","Henisch, Peter","hrv","Sedam i pol života","Siebeneinhalb Leben","Zagreb","XA-HR","onb9958957703903338"
"8204","990049812460603392","9789542915621","2014","Turrini, Peter","bul","Sedem sekundi večnost","Sieben Sekunden Ewigkeit","Sofija","XA-BG","onb990049812460603392"
"8206","9958947493903338","9788413627687","2022","Handke, Peter","cat","La segona espasa","<<Das>> zweite Schwert","Madrid","XA-ES","onb9958947493903338"
"8208","990048047400603392","9789896413910","2014","Zweig, Stefan","por","Segredo Ardente","Brennendes Geheimnis","Lisboa","XA-PT","onb990048047400603392"
"8211","9958492064003338","9784488010690","2017","Raab, Thomas","jpn","Seijaku","Still","Tōkyō","XB-JP","onb9958492064003338"
"8212","990050770640603392","9784152095794","2015","Trojanow, Ilija","jpn","Sekai shūshūka","<<Der>> Weltensammler","Tōkyōto","XB-JP","onb990050770640603392"
"8215","9958837251903338","9789100182090","2020","Celan, Paul","swe","Det sena verket","fail","[Stockholm]","XA-SE","onb9958837251903338"
"8216","990049215910603392","9788494100260","2014","Zweig, Stefan","spa","Sendas equívocas","fail","Valencina de la Concepción (Sevilla)","XA-ES","onb990049215910603392"
"8217","990037865980603392","9788493655006","2008","Stifter, Adalbert","spa","El sendero en el bosque","<<Der>> Waldsteig","Madrid","XA-ES","onb990037865980603392"
"8218","990038392370603392","9788498414264","2011","Bachmann, Ingeborg","spa","Tres senderos hacia el lago","Drei Wege zum See","Madrid","XA-ES","onb990038392370603392"
"8219","9958573443103338","9788680940021","2018","Jelinek, Elfriede","srp","Senka (Euridika govori)","Schatten (Eurydike sagt)","Beograd","XA-RS","onb9958573443103338"
"8221","990044100130603392","9788492728107","2010","Schnitzler, Arthur","spa","La señora Berta Garlan","Berta Garlan","Barcelona","XA-ES","onb990044100130603392"
"8222","990048889510603392","9780857053589","2016","Gstrein, Norbert","eng","A sense of the beginning","fail","London","XA-GB","onb990048889510603392"
"8223","9958882335003338","9789493186040","2020","Mayröcker, Friederike","dut","Sensorium etc.","fail","[Bleiswijk]","XA-NL","onb9958882335003338"
"8224","9958493249903338","9788869800252","2017","Gruber, Andreas","ita","Sentenza di morte","Todesurteil","Milano","XA-IT","onb9958493249903338"
"8225","990050060270603392","9788830444201","2016","Gruber, Andreas","ita","Sentenza di morte","Todesurteil","Milano","XA-IT","onb990050060270603392"
"8227","9958545566103338","9788932912325","2018","Kafka, Franz","kor","Seong","<<Das>> Schloss","Pa ju si","XB-KR","onb9958545566103338"
"8229","990042323380603392","9782246765813","2012","Glattauer, Daniel","fre","La septième vague","Alle sieben Wellen","Paris","XA-FR","onb990042323380603392"
"8231","990037885930603392","9789750711947","2010","Kehlmann, Daniel","tur","Sesler","Ruhm","Galatasaray, İstanbul","XB-TR","onb990037885930603392"
"8235","9958585772503338","9780857425553","2018","Schrott, Raoul","eng","The sex of the angels, the saints in their heaven","<<Das>> Geschlecht der Engel, der Himmel der Heiligen","Calcutta","XB-IN","onb9958585772503338"
"8236","9958502472303338","9789526866703","2017","Zweig, Stefan","fin","Shakkitarina","Schachnovelle","Helsinki","XA-FI","onb9958502472303338"
"8237","9959009400603338","9782491507619","2021","Wallner, Michael","fre","Shalom Berlin","fail","[Paris]","XA-FR","onb9959009400603338"
"8239","9958513872203338","9780986204982","2017","Lavant, Christine","eng","Shatter the bell in my ear","fail","Fayetteville, New York","XD-US","onb9958513872203338"
"8245","9958126369103338","9784488160081","2017","Gruber, Andreas","jpn","Shisei no satsujinsha","Racheherbst","Tōkyōto","XB-JP","onb9958126369103338"
"8246","990038883050603392","9784862652829","2010","Jelinek, Elfriede","jpn","Shisha no kodomotachi","<<Die>> Kinder der Toten","Suwa","XB-JP","onb990038883050603392"
"8248","990047514770603392","9787208108448","2013","Handke, Peter","chi","Shou men yuan mian dui fa dian qiu shi de jiao lü","<<Die>> Angst des Tormanns beim Elfmeter","Shang hai","XB-CN","onb990047514770603392"
"8251","990049587720603392","9788494338588","2016","Bernhard, Thomas","spa","Sí","Ja","Pollença - Mallorca","XA-ES","onb990049587720603392"
"8252","990047591850603392","9787532149902","2013","Jelinek, Elfriede","chi","Si wang yu shao nü","<<Der>> Tod und das Mädchen I - V","Shang hai","XB-CN","onb990047591850603392"
"8254","9958853451503338","9786090139028","2020","Kubelka, Susanna","lit","Šiandien madam pareis vėliau","Madame kommt heute später","Vilnius","XA-LT","onb9958853451503338"
"8256","9958593975903338","9788494707278","2019","Handke, Peter","spa","Siempre tormenta","Immer noch Sturm","Madrid","XA-ES","onb9958593975903338"
"8257","990045610640603392","9788420411064","2012","Glattauer, Daniel","spa","Siempre tuyo","Ewig Dein","Madrid","XA-ES","onb990045610640603392"
"8259","990047519330603392","9788806215354","2014","Flašar, Milena Michiko","ita","Il signor Cravatta","Ich nannte ihn Krawatte","Torino","XA-IT","onb990047519330603392"
"8260","990037867380603392","9788861921443","2010","Baronsky, Eva","ita","Il signor Mozart si è svegliato","Herr Mozart wacht auf","Roma","XA-IT","onb990037867380603392"
"8261","9958564967203338","9788836813131","2017","Schnitzler, Arthur","ita","La signora Berta Garlan","Frau Bertha Garlan","Bagno a Ripoli - Firenze","XA-IT","onb9958564967203338"
"8262","990049810880603392","9788817081283","2015","Aichner, Bernhard","ita","La signora dei morti","fail","Milano","XA-IT","onb990049810880603392"
"8264","990050278640603392","9788416498031","2016","Raab, Thomas","spa","Silencio","Still","Barcelona","XA-ES","onb990050278640603392"
"8265","990050281090603392","9788415723417","2013","Haas, Wolf","spa","Silencio","Silentium!","Madrid","XA-ES","onb990050281090603392"
"8267","990038242780603392","9789632442273","2011","Haas, Wolf","hun","Silentium!","Silentium!","Budapest","XA-HU","onb990038242780603392"
"8268","990037400920603392","9788361299271","2011","Haas, Wolf","pol","Silentium!","Silentium!","Warszawa","XA-PL","onb990037400920603392"
"8271","990043532230603392","9788776951160","2010","Bachmann, Ingeborg","dan","Simultan","Simultan","København","XA-DK","onb990043532230603392"
"8272","9958558940103338","9789172475335","2018","Bachmann, Ingeborg","swe","Simultan","Simultan","[Lund]","XA-SE","onb9958558940103338"
"8273","9958538978703338","9789755709031","2017","Canetti, Elias","tur","Sinek azabı","<<Die>> Fliegenpein","Çemberlitaş, İstanbul","XB-TR","onb9958538978703338"
"8274","990048650890603392","9788888255613","2015","Svatek, Kurt F.","ger","Sing mir vom heutigen Tag","fail","Trento","XA-IT","onb990048650890603392"
"8275","990048650830603392","9788888255682","2015","Svatek, Kurt F.","ger","Sing mir vom heutigen Tag","fail","Trento","XA-IT","onb990048650830603392"
"8276","990048650850603392","9788888255552","2015","Svatek, Kurt F.","ger","Sing mir vom heutigen Tag","fail","Trento","XA-IT","onb990048650850603392"
"8277","9958502472403338","9789949880041","2017","Trakl, Georg","est","Sinine silmapilk","fail","Räestu","XA-EE","onb9958502472403338"
"8278","990038047530603392","9788678043482","2011","Setz, Clemens J.","srp","Sinovi i planete","Söhne und Planeten","Beograd","XA-SP","onb990038047530603392"
"8279","990049203300603392","9789955135500","2015","Zweig, Stefan","lit","Širdies nerimas","Ungeduld des Herzens","Kaunas","XA-LT","onb990049203300603392"
"8282","9958532879403338","9788365838681","2018","Meighörner, Jeannine","pol","Sisi w Tyrolu","<<Das>> fliehende Herz","Warszawa","XA-PL","onb9958532879403338"
"8283","9958927828103338","9789188913364","2021","Seethaler, Robert","swe","Sista satsen","<<Der>> letzte Satz","Stockholm","XA-SE","onb9958927828103338"
"8284","9958580978903338","9788279592860","2019","Zweig, Stefan","nor","Sjakknovelle og andre tekstar","fail","[Leikanger]","XA-NO","onb9958580978903338"
"8285","9958852048303338","9786197362688","2020","Jelinek, Elfriede","bul","Sjanka (Evridika govori)","Schatten (Eurydike sagt)","Sofija","XA-BG","onb9958852048303338"
"8286","990050281020603392","9788252175127","2011","Wander, Fred","nor","Den sjuande brønnen","<<Der>> siebente Brunnen","Oslo","XA-NO","onb990050281020603392"
"8287","9958835753203338","9786180213140","2020","Zweig, Stefan","gre","Skakistike nubela","Schachnovelle","Athēna","XA-GR","onb9958835753203338"
"8288","9958821463003338","9785227087072","2019","Gruber, Andreas","rus","Skazka o smerti","Todesmärchen","Moskva","XA-RU","onb9958821463003338"
"8289","990050384220603392","9780857424297","2017","Trakl, Georg","eng","A skeleton plays violin","fail","London","XA-GB","onb990050384220603392"
"8290","990037749320603392","9789612423179","2010","Kafka, Franz","slv","Skice, črtice, novele","Brief an den Vater","Ljubljana","XA-SI","onb990037749320603392"
"8292","990043525710603392","9788081015069","2011","Bernhard, Thomas","slo","Skrachovanec","<<Der>> Untergeher","Bratislava","XA-SK","onb990043525710603392"
"8294","9958578338303338","9788793077508","2018","Jelinek, Elfriede","dan","Skygger (Eurydike  siger)","Schatten (Eurydike sagt)","[København]","XA-DK","onb9958578338303338"
"8297","990037088450603392","9788072942732","2010","Hochgatterer, Paulus","cze","Sladkost života","<<Die>> Süße des Lebens","Brno","XA-CZ","onb990037088450603392"
"8298","990057734000603392","9789542915768","2015","Rathenböck, Elisabeth Vera","bul","Sladoledeni deca","Sladoledeni deca","Sofija","XA-BG","onb990057734000603392"
"8299","9958899946603338","9788027064618","2019","Grillparzer, Franz","cze","Sláva a pád krále Otakara","König Ottokars Glück und Ende","Praha","XA-CZ","onb9958899946603338"
"8300","9958580977903338","9785171034290","2018","Kehlmann, Daniel","rus","Slava","Ruhm","Moskva","XA-RU","onb9958580977903338"
"8301","990038876250603392","9788673468167","2011","Kehlmann, Daniel","srp","Slava","Ruhm","Beograd","XA-SP","onb990038876250603392"
"8302","990042903850603392","9789545298806","2011","Kehlmann, Daniel","bul","Slava","Ruhm","Sofija","XA-BG","onb990042903850603392"
"8303","990039175170603392","9789532662153","2011","Kehlmann, Daniel","hrv","Slava","Ruhm","Zaprešić","XA-HR","onb990039175170603392"
"8304","990037748630603392","9789612422769","2010","Kehlmann, Daniel","slv","Slava","Ruhm","Ljubljana","XA-SI","onb990037748630603392"
"8305","990043063170603392","9786084525318","2011","Kehlmann, Daniel","mac","Slava","Ruhm","Skopje","XA-MK","onb990043063170603392"
"8306","9958585177703338","9789542826477","2018","Trojanow, Ilija","bul","Sled bjagstvoto","Nach der Flucht","Sofia","XA-BG","onb9958585177703338"
"8307","990050278620603392","9788024254067","2016","Poznanski, Ursula","cze","Slepí ptáci","Blinde Vögel","Praha","XA-CZ","onb990050278620603392"
"8308","990050353290603392","9789041709820","2017","Kafka, Franz","dut","Het slot","<<Das>> Schloss","Amsterdam","XA-NL","onb990050353290603392"
"8309","9958602980303338","9789177817666","2019","Kafka, Franz","swe","Slottet","<<Das>> Schloss","Stockholm","XA-SE","onb9958602980303338"
"8311","9958933200203338","9789044649512","2022","Ransmayr, Christoph","dut","De sluismeester","<<Der>> Fallmeister","Amsterdam","XA-NL","onb9958933200203338"
"8312","990049587730603392","9789537534967","2012","Doderer, Heimito ","hrv","Slunjski vodopadi","<<Die>> Wasserfälle von Slunj","Zagreb","XA-HR","onb990049587730603392"
"8313","9958493249303338","9789172998902","2017","Poznanski, Ursula","swe","Slutet","<<Die>> Vernichteten","[Bromma]","XA-SE","onb9958493249303338"
"8315","9958585079603338","9786197362510","2019","Wurmitzer, Mario","bul","Službata po nadzora ne znae milost","fail","Sofija","XA-BG","onb9958585079603338"
"8317","990050286430603392","9789543202799","2010","Mitterer, Felix","bul","Smărtni grechove","Tödliche Sünden","Sofija","XA-BG","onb990050286430603392"
"8318","9958048245703338","9789540905563","2010","Broch, Hermann","bul","Smărtta na Vergilij","<<Der>> Tod des Vergil","Sofija","XA-BG","onb9958048245703338"
"8319","990042389760603392","9789044520224","2011","Trojanow, Ilija","dut","Smeltend ijs","EisTau","Breda","XA-NL","onb990042389760603392"
"8321","9958546752303338","9785227073570","2017","Gruber, Andreas","rus","Smertʹ s uvedomleniem","Todesfrist","Moskva","XA-RU","onb9958546752303338"
